job_title,salary_from,salary_to,currency,company,main_location,skill_tag1,skill_tag2,skill_tag3,is_multi_location,is_fully_remote,link
Analyst/Architect IBM BAW,18 000,26 000,PLN,TUATARA,Warszawa,Analiza Biznesowa,IBM BAW,,True,True,https://justjoin.it/job-offer/tuatara-analyst-architect-ibm-baw-warszawa-analytics
Data Scientist (Fraud),10 791,12 666,PLN,AUCTANE Poland,Zielona Góra,SQL,Python,Machine Learning,False,False,https://justjoin.it/job-offer/auctane-poland-data-scientist-fraud--zielona-gora-data
Remote Senior Cloud Engineer (DevSecOps),22 000,31 000,PLN,Kingfisher plc,Kraków,GCP,DevOps,AWS,False,True,https://justjoin.it/job-offer/kingfisher-plc-remote-senior-cloud-engineer-devsecops--krakow-devops
Remote Mid Data Engineer,15 000,19 000,PLN,Kingfisher plc,Kraków,Python,Azure,Data modeling,False,True,https://justjoin.it/job-offer/kingfisher-plc-remote-mid-data-engineer-krakow-python
Customer Support Lead,8 000,8 500,PLN,Funtico,Warszawa,Customer Support,Communication,English,False,False,https://justjoin.it/job-offer/funtico-customer-support-lead-warszawa-support
Manual Tester,4 000,8 000,PLN,NoMachine,Wrocław,English,Linux,Bash,False,False,https://justjoin.it/job-offer/nomachine-manual-tester-wroclaw-testing
Technical Project Manager (jnr/mid),10 000,13 000,PLN,SmartFrame,Kraków,Jira,Confluence,,True,True,https://justjoin.it/job-offer/smartframe-technical-project-manager-jnr-mid--krakow-pm
Fullstack Java Developer,21 840,25 200,PLN,emagine Polska,Warszawa,Java,Hibernate,Spring,False,False,https://justjoin.it/job-offer/emagine-polska-fullstack-java-developer-warszawa-java-478d4c21
Project Manager (PMI),18 480,21 840,PLN,ITFS,Warszawa,Jira,,,False,False,https://justjoin.it/job-offer/itfs-project-manager-pmi--warszawa-pm
Database Administrator,18 000,25 000,PLN,Kevin Edward,Warszawa,Cassandra,NoSQL,MongoDB,False,False,https://justjoin.it/job-offer/kevin-edward-database-administrator-warszawa-data
Full Stack Developer,17 000,25 000,PLN,Kevin Edward,Warszawa,JavaScript,Java,Spring Boot,True,False,https://justjoin.it/job-offer/kevin-edward-full-stack-developer-warszawa-java
Product Owner,21 500,25 000,PLN,ITLT,Warszawa,Product Management,Product Backlog Refinement,Confluence,False,False,https://justjoin.it/job-offer/itlt-product-owner-warszawa-other-61fe2aac
Product Owner,21 500,25 000,PLN,ITLT,Warszawa,Product Management,Product Backlog Refinement,Business Analysis,False,False,https://justjoin.it/job-offer/itlt-product-owner-warszawa-analytics-cf644238
Tester Automatyzujący,14 000,18 000,PLN,Finture Sp. z o.o.,Warszawa,Scrum,Git,Selenium,False,True,https://justjoin.it/job-offer/finture-sp-z-o-o--tester-automatyzujacy-warszawa-testing
Product Owner - praca stacjonarna w Białymstoku,10 000,18 000,PLN,cronn Polska,Białystok,Zarządzanie zespołem,Analityczne Myślenie,,True,False,https://justjoin.it/job-offer/cronn-polska-product-owner---praca-stacjonarna-w-bialymstoku-bialystok-pm
Remote FullStack (PHP +React) Developer,13 300,21 400,PLN,Montrose Software( Polska) Sp.z.o.o,Łódź,PHP,SQL,,True,True,https://justjoin.it/job-offer/montrose-software-polska-sp-z-o-o-remote-fullstack-php-react-developer-lodz-php
Quality Assurance Engineer,15 000,17 000,PLN,BigTime,Wrocław,Jenkins,Cucumber,Swagger,False,False,https://justjoin.it/job-offer/bigtime-quality-assurance-engineer-wroclaw-testing
Senior Cloud Data Engineer (AWS/Azure and Databricks),21 000,33 000,PLN,Future Processing,Gliwice,AWS,Azure,SQL,True,True,https://justjoin.it/job-offer/future-processing-senior-cloud-data-engineer-aws-azure-and-databricks--gliwice-data
Senior Data Engineer,18 000,25 000,PLN,XTB,Warszawa,Python,T-SQL,SQL,True,True,https://justjoin.it/job-offer/xtb-senior-data-engineer-warszawa-python
Senior Data Engineer,19 600,31 300,PLN,Bethink,Poznań,,,,True,True,https://justjoin.it/job-offer/bethink-senior-data-engineer-poznan-data
Oracle PL/SQL Developer,20 000,27 000,PLN,ProSequentia,Warszawa,SQL,PL/SQL,Oracle,True,True,https://justjoin.it/job-offer/prosequentia-oracle-pl-sql-developer-warszawa-data
Product Owner,25 200,28 560,PLN,emagine Polska,Warszawa,Agile,Product Management,,False,False,https://justjoin.it/job-offer/emagine-polska-product-owner-warszawa-pm
Senior Full Stack (Java/React) Developer,22 000,33 000,PLN,Neontri,Wrocław,Java,React,Kafka,True,True,https://justjoin.it/job-offer/neontri-senior-full-stack-java-react-developer-wroclaw-java
Java Tech Lead (React),28 000,36 000,PLN,Neontri,Wrocław,Java,Apache Kafka,Spring Boot,True,True,https://justjoin.it/job-offer/neontri-java-tech-lead-react--wroclaw-java
DevOps Engineer (Mid/Senior),17 000,21 000,PLN,Neontri,Wrocław,Kubernetes,Terraform,Ansible,True,True,https://justjoin.it/job-offer/neontri-devops-engineer-mid-senior--wroclaw-devops
iOS Developer,20 000,23 000,PLN,Neontri,Kraków,CocoaPods,MVVM,UIKit,True,True,https://justjoin.it/job-offer/neontri-ios-developer-krakow-mobile
Android Developer,20 000,23 000,PLN,Neontri,Wrocław,Android,Coroutines,Compose-ui,True,True,https://justjoin.it/job-offer/neontri-android-developer-wroclaw-mobile
React Developer,20 000,23 500,PLN,Neontri,Kraków,React,JavaScript,MUI,True,True,https://justjoin.it/job-offer/neontri-react-developer-krakow-javascript
Full Stack Developer,18 000,22 499,PLN,Neontri,Kraków,Java,Kafka,React,True,True,https://justjoin.it/job-offer/neontri-full-stack-developer-krakow-java
Senior Full Stack (Java + React) Developer,18 000,22 000,PLN,Neontri,Poznań,Java,Kafka,React,True,True,https://justjoin.it/job-offer/neontri-senior-full-stack-java-react-developer-poznan-java
Magento 2 Front-end Developer (MID/Senior),9 000,21 000,PLN,creativestyle,Kraków,Magento 2,TypeScript,,True,True,https://justjoin.it/job-offer/creativestyle-magento-2-front-end-developer-mid-senior--krakow-javascript
Functional D365 Administrator (Partly in Paris),22 000,35 000,PLN,Haddad Brands Europe,Warszawa,Team Player,,,True,True,https://justjoin.it/job-offer/haddad-brands-europe-functional-d365-administrator-partly-in-paris--warszawa-erp-545d4732
Shopware Developer,9 200,18 400,PLN,UNIVIO,Wrocław,E-commerce,MySQL,PHP,True,True,https://justjoin.it/job-offer/univio-shopware-developer-wroclaw-php
Lead DevOps Engineer (AWS),33 600,40 320,PLN,7N,Gdańsk,ECS,s3,Docker,False,True,https://justjoin.it/job-offer/7n-lead-devops-engineer-aws--gdansk-devops
GCP DevOps Engineer,20 000,21 000,PLN,DCV Technologies,Kraków,Kubernetes,Python,GCP,False,False,https://justjoin.it/job-offer/dcv-technologies-gcp-devops-engineer-krakow-devops
Solution Architect,27 700,30 200,PLN,Neontri,Warszawa,Java,SOA,RabbitMQ,True,True,https://justjoin.it/job-offer/neontri-solution-architect-warszawa-architecture-cfcce867
Solution Architect,30 000,33 600,PLN,Neontri,Warszawa,Java,SOA,Apache Kafka,True,True,https://justjoin.it/job-offer/neontri-solution-architect-warszawa-architecture
Delphi Developer,25 000,27 000,PLN,Kevin Edward,Poland (Remote),Delphi,VCL,RTL,False,True,https://justjoin.it/job-offer/kevin-edward-delphi-developer-poland-remote--c
SAS Engineer (remote),20 800,29 500,PLN,Crestt,Warszawa,SAS 9.4,SAS Viya,,False,True,https://justjoin.it/job-offer/crestt-sas-engineer-remote--warszawa-data
